30 60
-590.0 -100.0 0.0
-570.0 -100.0 2.940016535258019e-09
-550.0 -100.0 1.1482780692953546e-07
-530.0 -100.0 3.470369795101108e-07
-510.0 -100.0 4.6123307403399736e-08
-490.0 -100.0 1.2765450764745682e-06
-470.0 -100.0 1.1128509670092922e-06
-450.0 -100.0 1.9171108618768334e-05
-430.0 -100.0 7.524184195698088e-06
-410.0 -100.0 2.3591057254331535e-06
-390.0 -100.0 2.084900972423581e-06
-370.0 -100.0 1.0024370785457378e-06
-350.0 -100.0 4.0410726795096185e-07
-330.0 -100.0 4.7181178781888076e-07
-310.0 -100.0 4.088305026291738e-08
-290.0 -100.0 1.9112403626247651e-07
-270.0 -100.0 1.0430469489972734e-10
-250.0 -100.0 6.501004900488975e-08
-230.0 -100.0 2.887142633224684e-09
-210.0 -100.0 1.8319826813564878e-08
-190.0 -100.0 3.6001222012384714e-09
-170.0 -100.0 4.195086417348886e-09
-150.0 -100.0 2.137424924396692e-09
-130.0 -100.0 8.254031640316537e-10
-110.0 -100.0 9.221240623937285e-10
-90.0 -100.0 2.367711803322787e-10
-70.0 -100.0 3.8363066280689083e-10
-50.0 -100.0 2.5642822860504477e-10
-30.0 -100.0 3.1605645734344297e-10
-10.0 -100.0 6.253297357059613e-10
10.0 -100.0 8.758865147052334e-10
30.0 -100.0 1.4326938980844792e-09
50.0 -100.0 3.855085191662015e-09
70.0 -100.0 2.2093807517692896e-09
90.0 -100.0 1.554286932914364e-08
110.0 -100.0 1.3110374455114885e-09
130.0 -100.0 5.23793798800751e-08
150.0 -100.0 5.044641576465528e-10
170.0 -100.0 1.5289981136305368e-07
190.0 -100.0 2.3751182778862217e-08
210.0 -100.0 4.7035060915761257e-07
230.0 -100.0 6.737294137219448e-08
250.0 -100.0 2.654012308529237e-06
270.0 -100.0 3.067168792845838e-06
290.0 -100.0 4.640794013375907e-07
310.0 -100.0 2.542777286438897e-07
330.0 -100.0 3.6994280548156894e-07
350.0 -100.0 2.9523669011049552e-08
370.0 -100.0 1.3405425103294252e-07
390.0 -100.0 8.386985304961907e-09
410.0 -100.0 2.7069545765733227e-08
430.0 -100.0 4.346705203011162e-09
450.0 -100.0 4.378357977436011e-10
470.0 -100.0 1.171912609410679e-08
490.0 -100.0 5.385925381777212e-10
510.0 -100.0 7.733717873014704e-09
530.0 -100.0 4.187090389958076e-09
550.0 -100.0 9.600463150252147e-11
570.0 -100.0 1.2428289116231265e-11
590.0 -100.0 6.606148140196795e-13

-580.0 -120.0 1.112717290862731e-06
-560.0 -120.0 1.2047502396854827e-06
-540.0 -120.0 4.502862443855076e-06
-520.0 -120.0 1.7857107255124384e-06
-500.0 -120.0 5.526957929347329e-07
-480.0 -120.0 9.83608425222238e-07
-460.0 -120.0 9.664924414041958e-08
-440.0 -120.0 4.2130529349739784e-07
-420.0 -120.0 1.5950874127223527e-07
-400.0 -120.0 1.787977504912708e-07
-380.0 -120.0 2.3835003004690619e-07
-360.0 -120.0 1.802954254342726e-08
-340.0 -120.0 1.8008955587808382e-07
-320.0 -120.0 8.283607774823688e-09
-300.0 -120.0 5.159076504861824e-08
-280.0 -120.0 1.8368314666615674e-08
-260.0 -120.0 5.670617456849303e-09
-240.0 -120.0 1.091725061897158e-08
-220.0 -120.0 2.6919065976560656e-10
-200.0 -120.0 1.516133636397211e-09
-180.0 -120.0 9.169103464935945e-10
-160.0 -120.0 1.467617688113079e-10
-140.0 -120.0 2.4413663088251605e-09
-120.0 -120.0 1.2914500970448765e-09
-100.0 -120.0 6.010353782813287e-10
-80.0 -120.0 2.035124117259589e-09
-60.0 -120.0 4.747675950777606e-10
-40.0 -120.0 5.9144157825137305e-09
-20.0 -120.0 4.697980915259237e-10
0.0 -120.0 4.077850546655949e-09
20.0 -120.0 2.0327292064313396e-09
40.0 -120.0 2.3782386905409116e-09
60.0 -120.0 6.0461640645162374e-09
80.0 -120.0 1.3650486661426106e-10
100.0 -120.0 1.6491687802892468e-09
120.0 -120.0 4.916337628559482e-10
140.0 -120.0 1.792641445445275e-10
160.0 -120.0 4.631591753412968e-09
180.0 -120.0 1.7754137679084281e-09
200.0 -120.0 4.305815533114196e-08
220.0 -120.0 1.2129615375794464e-07
240.0 -120.0 2.2136633654950052e-08
260.0 -120.0 6.901215735627928e-07
280.0 -120.0 1.2200422168903983e-07
300.0 -120.0 1.4748505834985541e-06
320.0 -120.0 1.7822836525255889e-06
340.0 -120.0 1.3534534855007305e-06
360.0 -120.0 6.353926180328712e-06
380.0 -120.0 4.3794017813240695e-07
400.0 -120.0 1.389505844443485e-05
420.0 -120.0 9.155461994639512e-09
440.0 -120.0 3.30773745011446e-05
460.0 -120.0 2.2771488981818697e-07
480.0 -120.0 0.00010894879191436364
500.0 -120.0 6.002595207854515e-07
520.0 -120.0 0.0006008142218521932
540.0 -120.0 0.0013492653323592134
560.0 -120.0 0.0005384043525717137
580.0 -120.0 0.00010678745639950173

-590.0 -140.0 3.5682751248817456e-08
-570.0 -140.0 7.836833165485677e-06
-550.0 -140.0 7.461889411658627e-07
-530.0 -140.0 5.264277987039832e-07
-510.0 -140.0 9.529125130384678e-10
-490.0 -140.0 1.1294120329999938e-07
-470.0 -140.0 6.593528499548818e-09
-450.0 -140.0 1.5630936103542687e-07
-430.0 -140.0 1.692816539465607e-07
-410.0 -140.0 1.0399253890586267e-08
-390.0 -140.0 1.0081817939372141e-07
-370.0 -140.0 4.269325188533118e-08
-350.0 -140.0 4.956939049710009e-07
-330.0 -140.0 1.9271138327031804e-07
-310.0 -140.0 2.1900938093954045e-08
-290.0 -140.0 9.701193528225067e-08
-270.0 -140.0 4.298748386417433e-09
-250.0 -140.0 1.751142912863266e-08
-230.0 -140.0 1.585940007080212e-08
-210.0 -140.0 7.874460210614826e-09
-190.0 -140.0 2.012309199096927e-08
-170.0 -140.0 7.452756815000041e-08
-150.0 -140.0 1.9064205343928714e-07
-130.0 -140.0 2.7170268046997344e-07
-110.0 -140.0 1.8301489962646396e-07
-90.0 -140.0 6.630948846723049e-08
-70.0 -140.0 3.535393221956116e-08
-50.0 -140.0 4.2553254338508405e-08
-30.0 -140.0 2.197416198291482e-08
-10.0 -140.0 3.2569338306048607e-10
10.0 -140.0 1.6426187470305125e-08
30.0 -140.0 4.491514927785093e-09
50.0 -140.0 1.1912466740431127e-08
70.0 -140.0 9.310973106621414e-08
90.0 -140.0 1.369730557831505e-07
110.0 -140.0 2.8093038939856893e-08
130.0 -140.0 9.755503258937435e-09
150.0 -140.0 1.5267640619321271e-09
170.0 -140.0 8.256432572140343e-08
190.0 -140.0 1.1444040834739105e-07
210.0 -140.0 3.7068992251117317e-09
230.0 -140.0 1.0528099650873712e-07
250.0 -140.0 2.992688561500032e-09
270.0 -140.0 1.7660247887820853e-08
290.0 -140.0 1.3971193973660446e-07
310.0 -140.0 2.2088353875346267e-07
330.0 -140.0 1.9743608732806105e-06
350.0 -140.0 3.970567687639946e-06
370.0 -140.0 2.662849696349123e-05
390.0 -140.0 2.453649954533868e-07
410.0 -140.0 1.9877982532560057e-06
430.0 -140.0 5.006890158668894e-06
450.0 -140.0 2.1815306394477095e-06
470.0 -140.0 3.1801351892789376e-06
490.0 -140.0 1.0306148760112145e-05
510.0 -140.0 5.289048517633728e-06
530.0 -140.0 9.082300774867434e-05
550.0 -140.0 4.8609303663310204e-05
570.0 -140.0 1.4483689841622793e-07
590.0 -140.0 9.210600796794626e-05

-580.0 -160.0 2.662839199440639e-06
-560.0 -160.0 4.560005054400589e-06
-540.0 -160.0 7.57567000539803e-08
-520.0 -160.0 3.4955177324413065e-06
-500.0 -160.0 1.570415800473696e-06
