300 300
-2242.5 -95 0.249026
-2227.5 -95 0.245534
-2212.5 -95 0.242066
-2197.5 -95 0.238545
-2182.5 -95 0.234994
-2167.5 -95 0.231423
-2152.5 -95 0.227811
-2137.5 -95 0.224156
-2122.5 -95 0.220501
-2107.5 -95 0.216803
-2092.5 -95 0.213061
-2077.5 -95 0.209292
-2062.5 -95 0.205505
-2047.5 -95 0.201679
-2032.5 -95 0.197814
-2017.5 -95 0.193925
-2002.5 -95 0.19
-1987.5 -95 0.186044
-1972.5 -95 0.18206
-1957.5 -95 0.178018
-1942.5 -95 0.17396
-1927.5 -95 0.169854
-1912.5 -95 0.165712
-1897.5 -95 0.161551
-1882.5 -95 0.157345
-1867.5 -95 0.153105
-1852.5 -95 0.148827
-1837.5 -95 0.144495
-1822.5 -95 0.140149
-1807.5 -95 0.135755
-1792.5 -95 0.131307
-1777.5 -95 0.126834
-1762.5 -95 0.122332
-1747.5 -95 0.117774
-1732.5 -95 0.113179
-1717.5 -95 0.108543
-1702.5 -95 0.103874
-1687.5 -95 0.0991452
-1672.5 -95 0.0943847
-1657.5 -95 0.0895771
-1642.5 -95 0.0847231
-1627.5 -95 0.079825
-1612.5 -95 0.0748733
-1597.5 -95 0.069886
-1582.5 -95 0.0648521
-1567.5 -95 0.0597725
-1552.5 -95 0.0546418
-1537.5 -95 0.0494522
-1522.5 -95 0.044223
-1507.5 -95 0.0389414
-1492.5 -95 0.0335912
-1477.5 -95 0.0282074
-1462.5 -95 0.0227724
-1447.5 -95 0.0172661
-1432.5 -95 0.0116998
-1417.5 -95 0.0061047
-1402.5 -95 0.000431591
-1387.5 -95 0
-1372.5 -95 0
-1357.5 -95 0
-1342.5 -95 0
-1327.5 -95 0
-1312.5 -95 0
-1297.5 -95 0
-1282.5 -95 0
-1267.5 -95 0
-1252.5 -95 0
-1237.5 -95 0
-1222.5 -95 0
-1207.5 -95 0
-1192.5 -95 0
-1177.5 -95 0
-1162.5 -95 0
-1147.5 -95 0
-1132.5 -95 0
-1117.5 -95 0
-1102.5 -95 0
-1087.5 -95 0
-1072.5 -95 0
-1057.5 -95 0
-1042.5 -95 0
-1027.5 -95 0
-1012.5 -95 0
-997.5 -95 0
-982.5 -95 0
-967.5 -95 0
-952.5 -95 0
-937.5 -95 0
-922.5 -95 0
-907.5 -95 0
-892.5 -95 0
-877.5 -95 0
-862.5 -95 0
-847.5 -95 0
-832.5 -95 0
-817.5 -95 0
-802.5 -95 0
-787.5 -95 0
-772.5 -95 0
-757.5 -95 0
-742.5 -95 0
-727.5 -95 0
-712.5 -95 0
-697.5 -95 0
-682.5 -95 0
-667.5 -95 0
-652.5 -95 0
-637.5 -95 0
-622.5 -95 0
-607.5 -95 0
-592.5 -95 0
-577.5 -95 0
-562.5 -95 0
-547.5 -95 0
-532.5 -95 0
-517.5 -95 0
-502.5 -95 0
-487.5 -95 0
-472.5 -95 0
-457.5 -95 0
-442.5 -95 0
-427.5 -95 0
-412.5 -95 0
-397.5 -95 0
-382.5 -95 0
-367.5 -95 0
-352.5 -95 0
-337.5 -95 0
-322.5 -95 0
-307.5 -95 0
-292.5 -95 0
-277.5 -95 0
-262.5 -95 0
-247.5 -95 0
-232.5 -95 0
-217.5 -95 0
-202.5 -95 0
-187.5 -95 0
-172.5 -95 0
-157.5 -95 0
-142.5 -95 0
-127.5 -95 0
-112.5 -95 0
-97.5 -95 0
-82.5 -95 0
-67.5 -95 0
-52.5 -95 0
-37.5 -95 0
-22.5 -95 0
-7.5 -95 0
7.5 -95 0
22.5 -95 0
37.5 -95 0
52.5 -95 0
67.5 -95 0
82.5 -95 0
97.5 -95 0
112.5 -95 0
127.5 -95 0
142.5 -95 0
157.5 -95 0
172.5 -95 0
187.5 -95 0
202.5 -95 0
217.5 -95 0
232.5 -95 0
247.5 -95 0
262.5 -95 0
277.5 -95 0
292.5 -95 0
307.5 -95 0
322.5 -95 0
337.5 -95 0
352.5 -95 0
367.5 -95 0
382.5 -95 0
397.5 -95 0
412.5 -95 0
427.5 -95 0
442.5 -95 0
457.5 -95 0
472.5 -95 0
487.5 -95 0
502.5 -95 0
517.5 -95 0
532.5 -95 0.00171369
547.5 -95 0.00708939
562.5 -95 0.0130944
577.5 -95 0.0196297
592.5 -95 0.0266133
607.5 -95 0.033972
